,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
53,7.623,7.35,4.851,6.72,5.46,6.342,4.41,6.867,5.964,7.14,7.665,7.476,7.77,5.25,5.46,6.048,8.001,8.19,8.883,8.505,8.253,7.476,7.476,7.098,7.098,7.308,6.09,6.762,6.762,5.775,5.775,19.32,19.341,20.832,21.735,23.079,22.176,10.29,9.2295,8.82,7.644,7.77,6.93,7.392,6.51,8.337,7.413,8.4
54,8.946,9.24,7.728,8.358,7.98,7.665,5.88,5.46,5.124,6.321,6.426,7.56,7.665,8.001,8.001,7.455,7.497,7.875,7.875,7.602,8.211,8.316,8.316,8.421,8.4,7.518,7.518,7.245,6.888,5.544,6.3,18.48,19.95,20.055,22.47,22.512,21.903,9.156,7.98,8.022,7.539,8.148,7.14,6.3,3.57,6.3,5.628,5.376
55,6.72,7.518,5.124,5.88,5.124,5.712,4.284,5.355,4.242,4.872,5.544,7.56,7.308,7.98,8.4,8.988,8.652,8.652,7.56,7.14,6.636,6.3,5.775,6.342,6.09,6.51,6.573,6.531,6.51,6.09,6.447,19.95,21.63,21.63,23.1,24.024,23.352,10.584,8.694,7.98,7.56,7.35,6.93,7.98,6.3,7.98,6.027,5.88
56,6.93,6.195,6.027,5.985,5.67,5.985,4.2,4.515,4.515,5.586,6.027,6.972,9.24,8.61,9.492,9.303,9.135,8.589,8.274,6.468,6.447,6.027,6.027,6.027,6.027,5.88,5.88,5.88,5.88,6.321,7.014,19.404,19.887,21.399,23.52,23.772,23.1,10.836,9.408,8.736,7.56,7.665,7.287,7.896,6.027,6.405,6.1635,6.132
57,7.98,6.825,6.3,7.56,6.51,7.875,6.09,6.3,6.111,6.888,6.72,7.77,7.56,8.4,9.744,9.87,9.87,9.744,9.24,8.82,7.56,6.951,6.573,7.56,6.321,6.321,6.027,5.859,5.88,5.88,6.279,19.068,20.244,19.95,22.953,22.05,21.945,9.345,8.4,7.686,7.14,6.93,6.72,7.14,5.88,6.195,5.544,5.46
58,6.405,6.51,6.384,6.384,6.405,6.405,6.3,6.405,6.174,6.405,6.363,6.489,6.888,7.665,8.148,9.324,9.0405,9.45,8.82,8.589,7.56,7.665,7.203,7.98,6.93,6.678,6.111,5.88,5.544,5.859,6.468,18.648,19.11,20.58,22.05,22.134,21.525,9.24,7.476,6.72,6.216,7.182,6.468,5.796,5.46,7.77,7.518,5.145
59,5.88,3.948,2.919,2.898,1.344,1.848,0.693,1.68,1.365,1.218,1.596,2.436,3.234,2.184,4.62,7.266,7.875,9.03,9.114,8.883,8.232,7.224,6.93,7.14,6.09,5.46,5.04,5.313,5.187,5.838,5.796,19.068,19.95,20.58,22.26,24.339,23.73,10.08,7.875,7.77,7.392,7.392,7.1715,6.72,5.04,3.57,2.205,2.205
60,4.41,3.78,2.163,2.52,1.197,1.47,0.735,1.26,1.071,1.407,2.1,1.764,3.423,1.848,2.205,1.722,5.082,4.2,5.103,5.88,5.88,6.405,6.72,6.888,6.867,6.888,6.93,6.972,6.594,6.594,6.615,19.362,18.9,20.58,22.89,24.57,23.961,10.752,8.484,8.4,7.119,7.3605,7.329,7.35,6.51,6.615,5.04,5.103
61,7.35,7.413,6.279,6.636,5.733,6.384,5.649,6.3,6.048,6.867,8.127,8.61,7.14,8.064,8.82,8.925,8.82,8.694,7.035,7.287,6.489,6.72,6.594,7.014,6.552,6.72,6.426,6.552,6.258,5.964,5.964,19.425,21.42,21.273,23.31,25.2,24.57,10.92,9.45,8.589,7.035,7.329,6.3,5.628,4.473,5.67,5.46,4.536
62,5.775,7.14,5.565,6.3,5.985,6.72,5.04,6.51,5.733,6.93,7.56,8.484,8.862,8.778,9.345,9.03,8.568,8.4,7.98,7.644,7.182,7.434,7.476,7.35,6.888,6.93,5.943,6.72,5.88,5.691,6.09,19.908,22.029,21.42,24.57,25.263,25.053,11.76,9.723,9.24,7.497,7.644,6.51,7.812,6.804,5.565,5.25,4.515
63,5.964,7.224,5.712,6.3,5.88,6.888,5.628,6.132,5.67,7.56,6.51,7.77,8.568,10.08,11.424,10.5,10.353,11.676,10.5,10.5,9.492,10.5,9.87,10.311,9.891,9.723,9.576,9.66,9.66,8.4,9.156,21.84,24.78,25.704,30.975,32.277,31.92,17.85,13.65,10.92,8.82,7.35,6.678,6.3,5.25,7.035,6.3,6.216
64,7.77,7.329,6.405,6.72,6.3,6.552,6.216,6.237,6.174,6.93,6.216,6.888,9.198,9.87,11.34,10.752,10.29,11.676,10.5,9.66,9.24,9.24,8.61,9.24,8.82,8.631,7.98,7.875,7.476,6.72,8.316,21.252,22.344,23.73,28.371,34.9965,34.9965,18.27,13.44,9.954,9.03,7.14,6.93,7.35,5.985,6.3,5.943,5.943
65,6.3,6.3,5.943,6.363,6.3,6.405,5.964,6.216,6.216,6.3,6.3,7.77,8.883,7.665,8.4,8.463,8.463,8.463,8.463,7.14,6.51,6.888,6.594,6.72,6.258,6.51,6.363,6.51,6.006,6.006,6.006,19.614,21.0,22.05,25.62,31.29,31.29,13.1985,9.534,8.862,7.392,7.14,7.686,7.14,6.006,9.45,7.98,7.98
